"","X.1","X","U_ID","StartDate","Finished","ID","Picture","Color","Gender","Day","Month","Year","Certificate","QID93","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25_First.Click","Q25_Last.Click","Q25_Page.Submit","Q25_Click.Count","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15","Q27_16","Q27_17","Q27_18","Q27_19","Score"
"74",74,74,"A81","21/04/2020 11:46",TRUE,"4319","sailboat","gold","Female",18,9,2008,"IGCSE (British)","","the denisty of teeth","mass/volume","Not sure","","Bigger than","it has half the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","I am not sure","The 2 blocks will float","Mass only","","Less dense",5.138,5.138,6.753,1,"4","5: Very true","5: Very true","4","5: Very true","5: Very true","3: Somewhat true","4","5: Very true","4","5: Very true","2","5: Very true","5: Very true","4","3: Somewhat true","4","4","4",6
"75",75,75,"A82","21/04/2020 11:58",TRUE,"4318","Rocket","Gold","Female",7,1,2008,"IGCSE (British)","","How heavy something is","mass X volume","Agree","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has twice the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will float","Density","","More dense",11.002,11.002,11.987,1,"3: Somewhat true","","","","","","","","","","","","","","","","","","",6
"76",76,76,"A83","21/04/2020 11:55",TRUE,"4296","Eagle ","Gold","Female",15,12,2007,"IGCSE (British)","","I do not know","mass/volume","Not sure","","Bigger than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","","More dense",24.461,24.461,25.186,1,"3: Somewhat true","3: Somewhat true","1: Not at all true","5: Very true","3: Somewhat true","3: Somewhat true","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","5: Very true","1: Not at all true","5: Very true","1: Not at all true","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","3: Somewhat true",5
"77",77,77,"A84","21/04/2020 11:52",TRUE,"4308","Lion","Orange ","Female",2,8,2007,"IGCSE (British)","","the space between things","mass/volume","Agree","Because density is a property of the matter, and it can never change","Same as","it has twice the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has twice the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","I am not sure","Density","","Less dense",5.557,5.557,5.97,1,"5: Very true","5: Very true","4","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","2","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true",6
"78",78,78,"A85","21/04/2020 12:06",TRUE,"4036","insect","gold","Male",9,12,2007,"IGCSE (British)","","","volume/mass","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","More dense",3.342,3.342,4.438,1,"3: Somewhat true","3: Somewhat true","3: Somewhat true","4","2","1: Not at all true","3: Somewhat true","2","3: Somewhat true","3: Somewhat true","2","2","3: Somewhat true","2","3: Somewhat true","4","2","4","3: Somewhat true",10
"79",79,79,"B86","21/04/2020 12:00",TRUE,"4307","Kangaroo","Gold","Female",11,11,2007,"IGCSE (British)","","","mass X volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Mass only","","Less dense",10.242,13.211,13.775,2,"5: Very true","5: Very true","4","4","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","1: Not at all true","3: Somewhat true","2","4","4","5: Very true","5: Very true","5: Very true",7
"80",80,80,"A87","21/04/2020 11:59",TRUE,"4301","Goat ","Gold","Female",12,12,2007,"IGCSE (British)","","I don't remember ","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will float","Density","","More dense",0.814,17.8,18.686,3,"5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true","4","3: Somewhat true","2","2","5: Very true","1: Not at all true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",9
"81",81,81,"B88","21/04/2020 11:58",TRUE,"4294","Donkey","Blue","Male",13,10,2007,"IGCSE (British)","","It is the weight in the water","mass/volume","Not sure","","Smaller than","it has twice the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has the same mass as the original block","it has twice the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","","More dense",4.676,17.407,18.518,2,"3: Somewhat true","5: Very true","2","4","3: Somewhat true","5: Very true","5: Very true","1: Not at all true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","2","3: Somewhat true","3: Somewhat true","5: Very true",2
"82",82,82,"A89","21/04/2020 11:47",TRUE,"4299","frog","gold","Male",16,2,2008,"IGCSE (British)","","","","","","","it has half the volume of the original block","","Agree","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","I am not sure","I am not sure","Mass only","","More dense",5.721,14.032,16.01,2,"4","3: Somewhat true","4","5: Very true","4","5: Very true","5: Very true","3: Somewhat true","5: Very true","4","5: Very true","4","4","4","4","4","5: Very true","5: Very true","5: Very true",2
"83",83,83,"A90","21/04/2020 12:23",TRUE,"4309","4309","Golden","Male",21,12,2006,"IGCSE (British)","","the degree of compactness of a substance.","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","","I am not sure","I am not sure","Density","","Less dense",8.595,8.595,11.411,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","3: Somewhat true","5: Very true","1: Not at all true","1: Not at all true","5: Very true","1: Not at all true","1: Not at all true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",9
"84",84,84,"A91","21/04/2020 12:24",TRUE,"4302","Gorilla","Gold","Female",11,5,2008,"IGCSE (British)","","I don't know","mass X volume","Not sure","","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","I am not sure","The 2 blocks will sink","Another answer?","","More dense",16.838,20.815,21.755,4,"4","5: Very true","4","5: Very true","4","4","4","5: Very true","2","2","3: Somewhat true","3: Somewhat true","5: Very true","4","5: Very true","4","5: Very true","2","2",2
"85",85,85,"A93","22/04/2020 10:46",TRUE,"4278","bat","dark yellow","Male",18,9,2006,"American Diploma","","mass divided by volume as it shows how much thee water covered","volume/mass","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","","it has the same mass as the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","I am not sure","Density","","Same density",7.586,7.586,9.784,1,"3: Somewhat true","3: Somewhat true","2","4","2","1: Not at all true","1: Not at all true","2","1: Not at all true","1: Not at all true","2","1: Not at all true","3: Somewhat true","1: Not at all true","4","2","4","4","3: Somewhat true",10
"86",86,86,"B95","22/04/2020 10:55",TRUE,"4291","Deer","Dark yelliw","Male",7,7,2007,"American Diploma","","The surface of a substance ","volume/mass","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has the same volume as the original block","Same as","Agree","Because what determines if an object will sink or float is the weight of the object","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Less dense",4.816,4.816,7.34,1,"3: Somewhat true","4","4","3: Somewhat true","3: Somewhat true","4","2","1: Not at all true","1: Not at all true","3: Somewhat true","5: Very true","1: Not at all true","1: Not at all true","3: Somewhat true","4","2","5: Very true","5: Very true","5: Very true",9
"87",87,87,"B96","22/04/2020 11:02",TRUE,"4282K","bus","yellow","Male",13,3,2006,"American Diploma","","is the space the object takes or needs","mass/volume","Not sure","","Same as","it has the same volume as the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","I am not sure","Density","","Less dense",14.222,14.222,15.381,1,"4","5: Very true","3: Somewhat true","3: Somewhat true","4","5: Very true","3: Somewhat true","4","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","2","3: Somewhat true","4","5: Very true",9
"88",88,88,"B97","22/04/2020 14:30",TRUE,"4293","dolphin ","dark yellow","Male",9,3,2007,"American Diploma","","measurement that compares amount of matter to volume in a object","mass/volume","Not sure","","Same as","it has the same volume as the original block","Same as","Disagree","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has the same mass as the original block","it has twice the density of the original block","it has the same volume, but half the density of the original block","I am not sure","The 2 blocks will float","Density","","Same density",3.07,4.95,5.362,3,"4","4","5: Very true","5: Very true","4","5: Very true","5: Very true","4","3: Somewhat true","5: Very true","4","5: Very true","4","3: Somewhat true","4","4","4","4","5: Very true",6
"89",89,89,"A100","28/04/2020 07:36",TRUE,"4443","Zebra","Gold","Male",9,5,2006,"IGCSE (British)","","It is the measure of a certain matter's Mass over Volume","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",5.355,5.355,6.864,1,"3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","4","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","2","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","5: Very true",15
"90",90,90,"A101","28/04/2020 07:36",TRUE,"4327","submarine ","gold","Male",14,2,2005,"IGCSE (British)","","the mass of a unit volume ","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the volume (how big it is)","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Same density",8.434,8.434,10.943,1,"3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","2","3: Somewhat true","4","4","5: Very true","3: Somewhat true","4","3: Somewhat true","4","4","5: Very true","5: Very true","5: Very true",13
"91",91,91,"A102","28/04/2020 07:39",TRUE,"4330","train","gold","Male",27,12,2005,"IGCSE (British)","","cannot remember","mass/volume","Agree","Because density is a property of the matter, and it can never change","Smaller than","it has the same volume as the original block","Bigger than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","I am not sure","I am not sure","Density","","Less dense",14.335,14.335,15.563,1,"3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","5: Very true","1: Not at all true","3: Somewhat true","3: Somewhat true","5: Very true","1: Not at all true","3: Somewhat true","2","4","5: Very true","3: Somewhat true","4","5: Very true","4","5: Very true",6
"92",92,92,"A103","28/04/2020 07:39",TRUE,"4337","Bat","Green","Male",4,11,2005,"IGCSE (British)","","density is a measure of the mass of a substance per unit volume","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",2.239,19.365,20.581,3,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","2","3: Somewhat true","4","4","5: Very true","1: Not at all true","3: Somewhat true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",15
"93",93,93,"A104","28/04/2020 07:39",TRUE,"4343","Butterfly","Green","Female",10,5,2006,"IGCSE (British)","","a measurement that compares the mass of an object in its volume","mass/volume","Not sure","","Smaller than","it has half the volume of the original block","Smaller than","Not sure","","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","","Same density",10.851,12.082,14.518,2,"4","5: Very true","4","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","2","4","2","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",4
"94",94,94,"A105","28/04/2020 07:36",TRUE,"4328","Tiger","Gold","Male",20,4,2005,"IGCSE (British)","","Amount of matter in a certain volume","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",65.056,68.371,69.658,2,"3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","2","1: Not at all true","2","1: Not at all true","1: Not at all true","1: Not at all true","4","4","5: Very true","5: Very true","5: Very true",15
"95",95,95,"B106","28/04/2020 07:47",TRUE,"4324","Ship","Gold","Male",21,3,2005,"IGCSE (British)","","Density is the mass of an object per unit volume","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","I am not sure","The 2 blocks will float","Density","","Less dense",7.345,7.345,8.722,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","2","2","2","3: Somewhat true","4","5: Very true","4","4","5: Very true","5: Very true","5: Very true",14
"96",96,96,"A107","28/04/2020 07:36",TRUE,"4348","chick","green","Female",10,3,2005,"IGCSE (British)","","it is the amount of matter in an object","mass/volume","Agree","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Less dense",26.235,26.235,27.292,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","1: Not at all true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","2","3: Somewhat true","4","4","5: Very true","5: Very true","5: Very true",8
"97",97,97,"A108","28/04/2020 07:49",TRUE,"4338","bear","green","Female",14,4,2005,"IGCSE (British)","","the quantity of mass per unit volume of a substance","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",17.212,19.626,24.747,3,"4","5: Very true","4","5: Very true","4","3: Somewhat true","4","3: Somewhat true","4","4","5: Very true","3: Somewhat true","5: Very true","4","5: Very true","4","4","5: Very true","4",14
"98",98,98,"A109","28/04/2020 07:51",TRUE,"4332","Whale","Gold","Male",4,6,2005,"IGCSE (British)","","it is basically the measure of mass per unit volume","mass/volume","Agree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Same density",13.626,14.307,14.998,2,"4","4","4","4","4","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","3: Somewhat true","4","4","4",13
"99",99,99,"A110","28/04/2020 07:57",TRUE,"4346","cat","green","Female",25,7,2005,"IGCSE (British)","","how much space an object takes up","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Not sure","","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Same density",1.59,27.649,28.868,9,"3: Somewhat true","4","4","4","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","4","4","4","4","3: Somewhat true",7
"100",100,100,"A111","28/04/2020 07:36",TRUE,"4347","caterpillar","green","Female",7,9,2005,"IGCSE (British)","","it is measurement that compair the mass of an object with its volume","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Bigger than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",43.633,43.633,45.077,1,"4","4","4","5: Very true","5: Very true","4","4","5: Very true","5: Very true","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","2","4","4","5: Very true","5: Very true","5: Very true",14
"101",101,101,"A112","28/04/2020 08:16",TRUE,"4339","beaver","green","Female",7,9,2005,"IGCSE (British)","","it is the mass of a unit volume of the matter","mass/volume","Disagree","Because the density can always change even if the pressure or temperature is constant","Same as","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","","Less dense",15.425,16.76,20.726,2,"3: Somewhat true","5: Very true","3: Somewhat true","5: Very true","4","3: Somewhat true","4","2","2","1: Not at all true","3: Somewhat true","2","3: Somewhat true","3: Somewhat true","4","4","5: Very true","4","5: Very true",8
"102",102,102,"B113","28/04/2020 08:46",TRUE,"4353","Dog","Green","Male",22,8,2005,"IGCSE (British)","","It is characteristic property of a substance","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will sink","Density","","Less dense",33.923,33.923,34.937,1,"3: Somewhat true","5: Very true","3: Somewhat true","4","5: Very true","5: Very true","5: Very true","3: Somewhat true","4","5: Very true","5: Very true","3: Somewhat true","5: Very true","4","3: Somewhat true","2","4","3: Somewhat true","3: Somewhat true",9
"103",103,103,"A114","28/04/2020 09:00",TRUE,"4367","Helicopter","green","Female",2,3,2006,"IGCSE (British)","","it is the compactness of particles in an object","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",5.782,10.487,12.357,2,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",16
"104",104,104,"A115","28/04/2020 09:07",TRUE,"4365","gorilla","green","Female",3,6,2005,"IGCSE (British)","","amount of mass in a unit volume","mass/volume","Disagree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Same density",7.125,7.125,8.616,1,"3: Somewhat true","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","2","1: Not at all true","3: Somewhat true","1: Not at all true","4","1: Not at all true","4","2","5: Very true","5: Very true","5: Very true",12
"105",105,105,"A116","28/04/2020 09:07",TRUE,"4357","Duck","Green","Male",11,8,2005,"IGCSE (British)","","mass in a unit volume","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has twice the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has the same mass as the original block","it has twice the density of the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will sink","Density","","Less dense",8.782,11.053,12.369,2,"4","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","2","5: Very true","5: Very true","5: Very true",7
"106",106,106,"A117","28/04/2020 09:08",TRUE,"4373","llama","green","Female",20,9,2005,"IGCSE (British)","","amount of matter in a unit volume of the substance ","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Same density",7.668,7.668,9.064,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","3: Somewhat true","2","3: Somewhat true","2","3: Somewhat true","4","3: Somewhat true",13
"107",107,107,"A118","28/04/2020 09:09",TRUE,"4359","elephant","green","Male",28,9,2007,"IGCSE (British)","","mass of molecules present in a unit area in the same object","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",7.214,7.214,9.492,1,"4","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","2","2","3: Somewhat true","2","2","3: Somewhat true","2","3: Somewhat true","1: Not at all true","4","3: Somewhat true","5: Very true","5: Very true","4",16
"108",108,108,"A119","28/04/2020 09:09",TRUE,"4352","Deer","Green","Male",9,8,2005,"IGCSE (British)","","amount of mass per unit volume","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",4.919,13.877,16.489,2,"5: Very true","4","4","5: Very true","5: Very true","3: Somewhat true","2","2","3: Somewhat true","1: Not at all true","5: Very true","5: Very true","4","4","3: Somewhat true","3: Somewhat true","5: Very true","4","4",15
"109",109,109,"A120","28/04/2020 09:10",TRUE,"4362","frog","green","Male",16,10,2004,"IGCSE (British)","","it is the amount of matter in a specific unit of volume","mass/volume","Not sure","","Bigger than","it has half the volume of the original block","Bigger than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","I am not sure","Density","","Less dense",5.058,5.931,9.973,2,"3: Somewhat true","4","4","5: Very true","4","2","2","2","1: Not at all true","1: Not at all true","3: Somewhat true","2","4","4","4","4","3: Somewhat true","3: Somewhat true","3: Somewhat true",10
"110",110,110,"A121","28/04/2020 09:15",TRUE,"4363","giraffe","green","Female",23,7,2005,"IGCSE (British)","","mass of unit volume ","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",17.41,17.41,19.137,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","4","5: Very true","5: Very true","5: Very true",16
"111",111,111,"A122","28/04/2020 09:15",TRUE,"4366","grasshopper","green","Female",16,2,2005,"IGCSE (British)","","mass over volume amount of matter in a certain space","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Not sure","","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",20.206,20.206,27.999,1,"5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","3: Somewhat true","3: Somewhat true","1: Not at all true","3: Somewhat true","1: Not at all true","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","5: Very true",14
"112",112,112,"B123","28/04/2020 09:15",TRUE,"4356","Dragonfly","Green","Male",17,10,2005,"IGCSE (British)","","measurment comaparing mass to the volume of object","mass/volume","Agree","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Same density",10.456,10.456,11.722,1,"5: Very true","4","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","4","5: Very true","3: Somewhat true","5: Very true","5: Very true","4","3: Somewhat true","4","3: Somewhat true","4",11
